Fr,Idx,X,Y,Z,Intensity,R,Altitude,Azimuth,Label,GT,Target Reflectivity
2,13266,19.04401016,-5.832300663,-0.341047198,1.839999914,19.92000008,-0.98100003,-17.02740689,Target 2-3,20,65.00%
2,13267,19.0655098,-5.83888483,-0.131550074,1.799999952,19.93999863,-0.37799996,-17.02740641,Target 2-3,20,65.00%
2,13268,19.0531559,-5.845079422,0.131484121,1.799999952,19.93000221,0.37799995,-17.05483489,Target 2-3,20,65.00%
2,13270,19.03165817,-5.838484764,0.340875983,1.839999914,19.91000175,0.980999956,-17.05483589,Target 2-3,20,65.00%
2,13272,19.07495689,-5.851768017,0.551744103,1.879999995,19.95999908,1.583999807,-17.05483638,Target 2-3,20,65.00%
2,13274,19.03969574,-5.840950489,0.760376632,1.919999957,19.93000031,2.186500181,-17.05483583,Target 2-3,20,65.00%
2,13276,19.05429077,-5.855400562,1.024621487,1.799999952,19.95999908,2.942500183,-17.08223987,Target 2-3,20,65.00%
2,13279,19.06201935,-5.857775211,1.235412359,1.679999948,19.97999954,3.544999999,-17.08223891,Target 2-3,20,65.00%
2,13287,16.88817215,-5.243912697,-1.282155871,3.039999962,17.72999954,-4.146999431,-17.24998718,Target 2-2,20,95.00%
2,13288,18.72070313,-5.8129282,-1.214389324,2.399999857,19.63999939,-3.544999791,-17.24998707,Target 2-3,20,65.00%
2,13289,19.03706741,-5.911161423,-1.024621487,1.839999914,19.96000099,-2.942499989,-17.24998592,Target 2-3,20,65.00%
2,13291,19.06456947,-5.929710388,-0.762284219,1.799999952,19.97999954,-2.186500194,-17.27741821,Target 2-3,20,65.00%
2,13292,19.05207825,-5.925825596,-0.551744103,1.799999952,19.95999718,-1.583999956,-17.27741928,Target 2-3,20,65.00%
2,13293,19.04702187,-5.92425251,-0.341560811,1.799999952,19.94999886,-0.980999988,-17.27741823,Target 2-3,20,65.00%
2,13294,19.04939842,-5.924991608,-0.131616056,1.839999914,19.94999886,-0.377999995,-17.27741798,Target 2-3,20,65.00%
2,13295,19.03701591,-5.931127548,0.131550074,1.839999914,19.93999863,0.377999956,-17.30482131,Target 2-3,20,65.00%
