Fr,Idx,X,Y,`,Intensity,R,Altitude,Azimuth,Label,GT,Target Reflectivity
3,29610,34.78323746,-4.486690998,-0.203835458,48,35.07200623,-0.333007467,-7.431848088,Target 3-3,35,95.00%
3,29613,34.95998383,-2.782109737,0.816070974,13,35.08000183,1.333481206,-4.569238701,Target 3-2 ,35,65.00%
3,29618,34.77852631,-4.486083508,0.612090826,50,35.07200623,1.000203036,-7.431848088,Target 3-3,35,95.00%
3,29630,34.94403839,-2.780840874,-0.815698802,13,35.06400299,-1.333481206,-4.569238701,Target 3-2 ,35,65.00%
3,29632,47.97317505,-1.624963164,-0.83785516,58,48.00799942,-1.000203036,-1.9414837,Target 4-3,48,95.00%
3,29636,34.94806671,-2.897818565,0,6,35.06800079,0,-4.761760181,Target 3-2 ,35,65.00%
3,29640,47.97167969,-1.6249125,0.278971881,61,48.00000381,0.333007543,-1.9414837,Target 4-3,48,95.00%
3,29644,34.95455551,-2.898356438,0.816164076,13,35.08400726,1.333481206,-4.761760181,Target 3-2 ,35,65.00%
3,29662,34.93861008,-2.897034407,-0.815791786,13,35.06800079,-1.333481206,-4.761760181,Target 3-2 ,35,65.00%
3,29664,47.98719788,-1.793157697,-0.838204205,58,48.02800369,-1.000203036,-2.141992555,Target 4-3,48,95.00%
3,29668,34.94969559,-3.020825863,0,6,35.08000183,0,-4.964645942,Target 3-2 ,35,65.00%
3,29672,47.99369812,-1.793400645,0.279134631,61,48.02800369,0.333007543,-2.141992555,Target 4-3,48,95.00%
3,29676,34.93624878,-3.019663572,0.815977871,13,35.07600021,1.333481206,-4.964645942,Target 3-2 ,35,65.00%
3,29694,34.93624878,-3.019663572,-0.815977871,6,35.07600021,-1.333481206,-4.964645942,Target 3-2 ,35,65.00%
3,29696,48.00062943,-1.961470246,-0.83855325,70,48.04800797,-1.000202884,-2.342605835,Target 4-3,48,95.00%
3,29699,34.92698669,-3.141729832,0,6,35.06800461,0,-5.167778196,Target 3-2 ,35,65.00%
3,29703,48.00712967,-1.961735964,0.27925086,61,48.04800415,0.333007467,-2.342605835,Target 4-3,48,95.00%
3,29706,34.93744659,-3.142670631,0.81625706,6,35.08800125,1.333481206,-5.167778196,Target 3-2 ,35,65.00%
3,29722,48.01345825,-2.129897594,-0.838902235,35,48.06799698,-1.000203036,-2.543334167,Target 4-3,48,95.00%
3,29811,32.71848679,-5.02416563,-0.963362098,6,33.11600494,-1.667941302,-8.868001912,Target 3-3,35,95.00%
3,29822,34.91863632,-3.626969576,0.816908419,13,35.11600113,1.333481206,-5.972759399,Target 3-3,35,95.00%
3,29826,32.64829254,-5.013387203,0.576557755,6,33.03600311,1.000203036,-8.868003126,Target 3-3,35,95.00%
3,29830,32.61039734,-5.007567406,1.344154477,7,33.02000046,2.335582883,-8.868001912,Target 3-3,35,95.00%
3,29839,34.91466141,-3.626556873,-0.816815436,45,35.11200333,-1.333481206,-5.972760614,Target 3-3,35,95.00%
3,29844,34.89995956,-3.742051601,0,92,35.10000229,0,-6.16703305,Target 3-3,35,95.00%
3,29852,34.91039276,-3.743170261,0.817001522,94,35.11999893,1.33348151,-6.16703305,Target 3-3,35,95.00%
3,29868,34.90244293,-3.742317915,-0.816815436,84,35.11200333,-1.333481206,-6.16703305,Target 3-3,35,95.00%
3,29871,32.06678009,-5.153488159,-0.945209622,23,32.49200439,-1.667941302,-9.288173293,Target 3-3,35,95.00%
3,29874,34.88601303,-3.869941711,0,86,35.1000061,0,-6.38208019,Target 3-3,35,95.00%
3,29878,34.98490524,-2.158155918,0.203719214,6,35.05199814,0.333007543,-3.53896386,Target 3-2 ,35,65.00%
3,29882,34.88451767,-3.869776011,0.816722333,81,35.10800171,1.333481206,-6.382081404,Target 3-3,35,95.00%
3,29887,32.09126663,-5.157423496,0.567342877,100,32.50800323,1.000203036,-9.288173293,Target 3-3,35,95.00%
3,29891,32.06955338,-5.153934002,1.323312521,65,32.50800323,2.335582883,-9.288173293,Target 3-3,35,95.00%
3,29900,34.88053894,-3.869334698,-0.816629231,78,35.10399628,-1.333481206,-6.382081404,Target 3-3,35,95.00%
3,29902,34.97641373,-2.28021431,-0.611811578,6,35.05599976,-1.000203036,-3.740579509,Target 3-2 ,35,65.00%
3,29906,34.86831665,-3.991237402,0,86,35.09600449,0,-6.587214145,Target 3-3,35,95.00%
3,29910,34.9811554,-2.2805233,0.203742474,13,35.05600739,0.333007467,-3.740579509,Target 3-2 ,35,65.00%
3,29914,34.87080002,-3.991521597,0.816722333,74,35.10800171,1.333481206,-6.587214145,Target 3-3,35,95.00%
3,29918,34.95895386,-2.279075861,1.019564986,12,35.04799652,1.667941302,-3.740579509,Target 3-2 ,35,65.00%
3,29932,34.86682129,-3.991066456,-0.816629231,84,35.10399628,-1.333481206,-6.587214145,Target 3-3,35,95.00%
3,29934,34.98420334,-2.403387308,-0.612090826,12,35.07200241,-1.000203036,-3.942379118,Target 3-2 ,35,65.00%
